STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
72584693201,2/11/2020,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,30,22,13.8,22,9999.9,0,824,22,10,22,2.9,22,12,15,50,*,14.9,*,0,I,999.9,0
72584693201,2/12/2020,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,30.8,24,16,24,9999.9,0,821.9,23,10,24,2.4,24,9.9,15,51.8,*,14.9,*,0,I,999.9,0
72584693201,2/13/2020,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,30,21,16.1,21,9999.9,0,820.6,21,10,21,1.7,21,8.9,999.9,55.4,*,12.2,*,0,I,999.9,0
72584693201,2/14/2020,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,32.2,23,20,23,9999.9,0,819.9,22,10,23,2.8,23,9.9,999.9,55.9, ,12.9, ,0,I,999.9,0
72584693201,2/15/2020,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,33.9,24,21.2,24,9999.9,0,822.5,23,10,24,2.8,24,13,15.9,55, ,16, ,0,I,999.9,0
72584693201,2/16/2020,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,40.6,22,26.4,22,9999.9,0,822.7,22,10,22,4.9,22,9.9,15,54, ,19.9, ,0,I,999.9,0
72584693201,2/17/2020,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,33.6,23,20.4,23,9999.9,0,822.5,23,7.1,23,1.8,23,9.9,15,48.2,*,19.4,*,0,I,999.9,100000
72584693201,2/18/2020,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,29.2,23,11.3,23,9999.9,0,820.3,23,10,23,1.7,23,8.9,14,51.8,*,15.8,*,0,I,999.9,0
72584693201,2/19/2020,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,30.8,24,17,24,9999.9,0,820.6,23,10,24,2.5,24,8,999.9,53.1, ,15.1, ,0,I,999.9,0
72584693201,2/20/2020,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,31,22,14.3,22,9999.9,0,822.9,22,10,22,1.8,22,9.9,15.9,53.6,*,17.1,*,0,I,999.9,0
72584693201,2/21/2020,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,32.8,22,18.4,22,9999.9,0,823,22,10,22,1.7,22,9.9,999.9,55, ,17.1, ,0,I,999.9,0
72584693201,2/22/2020,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,35.2,21,19.1,21,9999.9,0,819.9,20,10,21,1.8,21,9.9,15.9,57.9, ,19.9, ,0,I,999.9,0
72584693201,2/23/2020,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,34,22,20,22,9999.9,0,822.8,22,10,22,3.6,22,12,18.1,54, ,17.1, ,0,I,999.9,0
72584693201,2/24/2020,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,32.7,24,18.1,24,9999.9,0,828.6,24,10,24,2.9,24,12,15.9,55, ,15.1, ,0,I,999.9,0
72584693201,2/25/2020,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,29,21,12.3,21,9999.9,0,829.6,21,10,21,1.4,20,7,999.9,55.4,*,12.2,*,0,I,999.9,0
72584693201,2/26/2020,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,36.6,24,17.5,24,9999.9,0,830.2,23,10,24,2.5,24,11.1,15,60.8,*,19.4,*,0,I,999.9,0
72584693201,2/27/2020,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,36.1,23,21.7,23,9999.9,0,828.9,23,9.3,23,1.8,23,8.9,999.9,63, ,17.1, ,0,I,999.9,100000
72584693201,2/28/2020,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,37.4,23,20.1,23,9999.9,0,826.2,21,10,23,3.5,23,14,20,63, ,18, ,0,I,999.9,0
72584693201,2/29/2020,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,42.9,23,22.1,22,9999.9,0,819.6,21,10,23,9.6,23,20,29.9,53.6,*,33.8,*,0,I,999.9,0
72584693201,3/1/2020,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,30,20,19,20,9999.9,0,815.1,12,5.9,20,8.1,20,15.9,26,42.8,*,23,*,99.99, ,5.9,1000
72584693201,3/2/2020,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,21.9,23,9.2,22,9999.9,0,820.4,22,10,22,5.7,22,15,22,39.2,*,5,*,0,I,2,0
72584693201,3/3/2020,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,33.5,24,22.9,24,9999.9,0,823.3,24,10,24,3.1,24,15,19,55.4,*,17.6,*,0,I,999.9,0
72584693201,3/4/2020,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,37.2,22,24.3,22,9999.9,0,823.7,21,9.9,22,1.4,22,8,999.9,62.6,*,19.4,*,0,I,999.9,0
72584693201,3/5/2020,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,40,23,25.9,23,9999.9,0,824,22,9.8,23,3.1,23,12,20,64.9, ,19, ,0,I,999.9,0
